,Sex,Length,Diameter,Height,Whole_weight,Shucked_weight,Viscera_weight,Shell_weight,Rings
3330,Female,0.385,0.305,0.125,0.314,0.146,0.0555,0.08,10
3331,Female,0.51,0.34,0.18,0.7005,0.312,0.165,0.2,11
3332,Infant,0.44,0.34,0.125,0.4895,0.1735,0.0875,0.2,13
3333,Infant,0.45,0.36,0.125,0.45,0.191,0.0865,0.145,12
3334,Infant,0.39,0.3,0.105,0.259,0.0955,0.038,0.085,8
3335,Female,0.425,0.325,0.135,0.382,0.1465,0.079,0.14,12
3336,Female,0.45,0.35,0.125,0.4435,0.185,0.09,0.145,11
3337,Infant,0.66,0.525,0.18,1.6935,0.6025,0.4005,0.42,15
3338,Female,0.685,0.525,0.175,1.71,0.5415,0.309,0.58,16
3339,Female,0.585,0.475,0.185,0.8575,0.3465,0.1785,0.275,12
3340,Infant,0.54,0.435,0.145,0.97,0.4285,0.22,0.264,17
3341,Female,0.49,0.39,0.135,0.59,0.215,0.125,0.1845,12
3342,Male,0.43,0.33,0.095,0.34,0.1315,0.085,0.112,14
3343,Female,0.455,0.365,0.11,0.385,0.166,0.046,0.1345,13
3344,Infant,0.495,0.38,0.145,0.515,0.175,0.098,0.212,13
3345,Female,0.48,0.38,0.145,0.59,0.232,0.141,0.23,12
3346,Infant,0.47,0.4,0.16,0.51,0.1615,0.073,0.198,14
3347,Male,0.415,0.32,0.1,0.3005,0.1215,0.0575,0.104,11
3348,Infant,0.49,0.385,0.115,0.683,0.3265,0.1615,0.165,13
3349,Infant,0.47,0.375,0.105,0.468,0.1665,0.108,0.17,10
3350,Infant,0.445,0.345,0.13,0.4075,0.1365,0.0645,0.18,11
3351,Female,0.51,0.38,0.13,0.584,0.224,0.1355,0.185,13
3352,Female,0.52,0.405,0.145,0.829,0.3535,0.1685,0.205,15
3353,Infant,0.475,0.365,0.14,0.4545,0.171,0.118,0.158,8
3354,Female,0.455,0.36,0.11,0.4385,0.206,0.098,0.125,10
3355,Infant,0.435,0.34,0.11,0.407,0.1685,0.073,0.13,10
3356,Infant,0.39,0.3,0.1,0.3085,0.1385,0.0735,0.085,6
3357,Infant,0.375,0.285,0.1,0.239,0.105,0.0555,0.07,8
3358,Male,0.285,0.215,0.075,0.106,0.0415,0.023,0.035,5
3359,Infant,0.58,0.445,0.17,1.178,0.3935,0.2165,0.315,20
3360,Female,0.58,0.44,0.175,1.073,0.4005,0.2345,0.335,19
3361,Male,0.41,0.315,0.095,0.306,0.121,0.0735,0.09,9
3362,Male,0.41,0.3,0.1,0.301,0.124,0.069,0.09,9
3363,Infant,0.54,0.405,0.15,0.7585,0.307,0.2075,0.19,10
3364,Male,0.33,0.245,0.085,0.171,0.0655,0.0365,0.055,11
3365,Infant,0.44,0.31,0.115,0.3625,0.134,0.082,0.12,11
3366,Male,0.28,0.21,0.065,0.0905,0.035,0.02,0.03,5
3367,Infant,0.59,0.465,0.195,1.0885,0.3685,0.187,0.375,17
3368,Infant,0.61,0.48,0.165,1.097,0.4215,0.264,0.335,13
3369,Infant,0.61,0.46,0.17,1.278,0.41,0.257,0.37,17
3370,Male,0.455,0.345,0.125,0.44,0.169,0.1065,0.135,12
3371,Male,0.33,0.235,0.09,0.163,0.0615,0.034,0.055,10
3372,Infant,0.44,0.33,0.135,0.522,0.17,0.0905,0.195,16
3373,Male,0.54,0.405,0.155,0.9715,0.3225,0.194,0.29,19
3374,Female,0.475,0.375,0.125,0.588,0.237,0.1715,0.155,10
3375,Female,0.46,0.33,0.15,0.5325,0.2085,0.1805,0.125,10
3376,Infant,0.31,0.235,0.09,0.127,0.048,0.031,0.04,6
3377,Infant,0.255,0.19,0.07,0.0815,0.028,0.016,0.031,5
3378,Male,0.335,0.255,0.075,0.1635,0.0615,0.0345,0.057,8
3379,Infant,0.295,0.21,0.08,0.1,0.038,0.026,0.031,8
3380,Infant,0.19,0.13,0.045,0.0265,0.009,0.005,0.009,5
3381,Male,0.545,0.435,0.165,0.9955,0.3245,0.2665,0.325,19
3382,Male,0.495,0.4,0.12,0.6605,0.2605,0.161,0.19,15
3383,Male,0.5,0.375,0.13,0.721,0.3055,0.1725,0.22,14
3384,Female,0.305,0.225,0.07,0.1485,0.0585,0.0335,0.045,7
3385,Female,0.475,0.35,0.115,0.487,0.194,0.1455,0.125,13
3386,Male,0.515,0.4,0.125,0.955,0.341,0.2535,0.26,13
3387,Male,0.545,0.41,0.145,0.873,0.3035,0.196,0.31,18
3388,Male,0.74,0.535,0.185,1.65,0.734,0.4505,0.335,13
3389,Male,0.565,0.465,0.15,1.1285,0.377,0.3525,0.33,16
3390,Male,0.56,0.44,0.16,1.1115,0.5035,0.2785,0.26,10
3391,Male,0.545,0.42,0.125,0.9745,0.353,0.174,0.305,13
3392,Male,0.645,0.515,0.185,1.4605,0.5835,0.3155,0.41,19
3393,Male,0.575,0.435,0.13,1.0105,0.368,0.222,0.32,10
3394,Male,0.62,0.48,0.16,1.0765,0.412,0.253,0.3,13
3395,Female,0.605,0.45,0.165,1.2225,0.357,0.202,0.385,13
3396,Male,0.605,0.475,0.16,1.616,0.5495,0.332,0.34,18
3397,Female,0.475,0.375,0.15,0.559,0.1955,0.1215,0.1945,12
3398,Male,0.365,0.285,0.085,0.2205,0.0855,0.0515,0.07,9
3399,Female,0.46,0.35,0.115,0.44,0.19,0.1025,0.13,8
3400,Male,0.53,0.43,0.135,0.879,0.28,0.2165,0.25,10
3401,Male,0.48,0.395,0.15,0.6815,0.2145,0.1405,0.2495,18
3402,Male,0.455,0.345,0.15,0.5795,0.1685,0.125,0.215,13
3403,Infant,0.35,0.265,0.11,0.209,0.066,0.059,0.075,9
3404,Male,0.37,0.28,0.105,0.224,0.0815,0.0575,0.075,8
3405,Infant,0.34,0.25,0.075,0.1765,0.0785,0.0405,0.05,7
3406,Infant,0.35,0.28,0.075,0.196,0.082,0.04,0.064,8
3407,Infant,0.35,0.265,0.08,0.192,0.081,0.0465,0.053,6
3408,Infant,0.39,0.315,0.09,0.3095,0.147,0.05,0.09,7
3409,Infant,0.395,0.31,0.095,0.313,0.131,0.072,0.093,7
3410,Infant,0.415,0.31,0.105,0.3595,0.167,0.083,0.0915,6
3411,Infant,0.43,0.32,0.1,0.3855,0.192,0.0745,0.1,7
3412,Infant,0.48,0.355,0.115,0.5785,0.25,0.106,0.184,8
3413,Male,0.49,0.395,0.12,0.674,0.3325,0.1235,0.185,9
3414,Female,0.49,0.37,0.105,0.5265,0.249,0.1005,0.148,7
3415,Female,0.56,0.465,0.16,1.0315,0.432,0.2025,0.337,9
3416,Male,0.56,0.45,0.14,0.9,0.472,0.182,0.218,7
3417,Male,0.58,0.46,0.15,1.0165,0.491,0.221,0.265,9
3418,Female,0.58,0.48,0.18,1.2495,0.4945,0.27,0.371,8
3419,Male,0.59,0.47,0.135,1.1685,0.539,0.279,0.28,8
3420,Female,0.595,0.475,0.165,1.148,0.444,0.214,0.37,10
3421,Male,0.6,0.475,0.15,1.089,0.5195,0.223,0.292,11
3422,Male,0.61,0.47,0.155,1.0325,0.497,0.2175,0.2785,9
3423,Female,0.63,0.475,0.15,1.172,0.536,0.254,0.316,11
3424,Male,0.64,0.51,0.17,1.3715,0.567,0.307,0.409,10
3425,Female,0.65,0.545,0.185,1.5055,0.6565,0.341,0.43,10
3426,Male,0.71,0.55,0.2,1.9045,0.882,0.44,0.5,13
3427,Male,0.74,0.605,0.2,2.4925,1.1455,0.575,0.5235,13
3428,Infant,0.25,0.18,0.065,0.0805,0.0345,0.0185,0.0215,4
3429,Infant,0.28,0.21,0.065,0.111,0.0425,0.0285,0.03,6
3430,Infant,0.325,0.24,0.075,0.152,0.065,0.0305,0.045,6
3431,Infant,0.35,0.265,0.095,0.199,0.073,0.049,0.06,5
3432,Infant,0.36,0.27,0.09,0.219,0.097,0.0405,0.065,6
3433,Infant,0.365,0.27,0.105,0.2155,0.0915,0.0475,0.063,6
3434,Infant,0.37,0.28,0.09,0.2565,0.1255,0.0645,0.0645,6
3435,Infant,0.375,0.285,0.09,0.257,0.1045,0.062,0.075,7
3436,Infant,0.38,0.275,0.095,0.2505,0.0945,0.0655,0.075,6
3437,Infant,0.395,0.3,0.09,0.279,0.134,0.049,0.075,8
3438,Infant,0.43,0.335,0.105,0.378,0.188,0.0785,0.09,6
3439,Infant,0.44,0.35,0.125,0.456,0.21,0.0955,0.131,8
3440,Infant,0.465,0.37,0.1,0.5055,0.234,0.11,0.14,7
3441,Female,0.465,0.355,0.115,0.4705,0.1955,0.118,0.126,7
3442,Male,0.48,0.37,0.13,0.643,0.349,0.1155,0.135,8
3443,Infant,0.485,0.37,0.1,0.513,0.219,0.1075,0.13,7
3444,Female,0.49,0.4,0.115,0.569,0.256,0.1325,0.145,9
3445,Infant,0.495,0.4,0.145,0.578,0.2545,0.1305,0.1645,8
3446,Infant,0.5,0.385,0.11,0.596,0.3015,0.104,0.151,8
3447,Female,0.505,0.39,0.12,0.5725,0.2555,0.1325,0.146,8
3448,Male,0.52,0.39,0.12,0.6435,0.2885,0.157,0.161,7
3449,Male,0.52,0.395,0.125,0.8115,0.4035,0.166,0.2,7
3450,Female,0.525,0.44,0.125,0.7115,0.3205,0.159,0.1915,7
3451,Male,0.55,0.44,0.155,0.9155,0.3645,0.195,0.25,8
3452,Female,0.555,0.44,0.145,0.8815,0.43,0.1975,0.2155,8
3453,Female,0.555,0.42,0.11,0.931,0.4445,0.171,0.225,8
3454,Female,0.575,0.46,0.165,1.065,0.4985,0.2145,0.2815,8
3455,Male,0.6,0.475,0.155,1.1385,0.502,0.2295,0.31,9
3456,Female,0.61,0.48,0.16,1.234,0.598,0.238,0.315,12
3457,Female,0.61,0.495,0.175,1.2635,0.53,0.315,0.3455,10
3458,Female,0.61,0.47,0.16,1.0745,0.4925,0.236,0.29,8
3459,Male,0.615,0.505,0.19,1.403,0.6715,0.2925,0.365,8
3460,Male,0.62,0.485,0.165,1.1325,0.5235,0.2505,0.2825,9
3461,Female,0.625,0.495,0.16,1.1115,0.4495,0.2825,0.345,11
3462,Female,0.625,0.47,0.17,1.255,0.525,0.2415,0.405,10
3463,Male,0.625,0.485,0.17,1.437,0.5855,0.293,0.475,11
3464,Male,0.635,0.495,0.155,1.3635,0.583,0.2985,0.295,10
3465,Female,0.64,0.48,0.195,1.1435,0.4915,0.2345,0.353,9
3466,Male,0.64,0.5,0.17,1.4545,0.642,0.3575,0.354,9
3467,Male,0.66,0.525,0.18,1.478,0.5815,0.381,0.372,10
3468,Female,0.665,0.52,0.165,1.6885,0.7295,0.407,0.4265,11
3469,Female,0.715,0.585,0.23,2.0725,0.8655,0.4095,0.565,10
3470,Male,0.72,0.565,0.2,1.787,0.718,0.385,0.529,11
3471,Female,0.725,0.58,0.185,1.523,0.8045,0.3595,0.4375,9
3472,Infant,0.165,0.12,0.05,0.021,0.0075,0.0045,0.014,3
3473,Infant,0.21,0.15,0.055,0.0455,0.02,0.0065,0.013,4
3474,Infant,0.355,0.265,0.085,0.2435,0.122,0.0525,0.06,6
3475,Infant,0.4,0.315,0.085,0.2675,0.116,0.0585,0.0765,6
3476,Infant,0.4,0.29,0.1,0.258,0.104,0.059,0.0815,7
3477,Infant,0.4,0.3,0.11,0.2985,0.1375,0.071,0.075,6
3478,Infant,0.435,0.335,0.11,0.411,0.2025,0.0945,0.1,7
3479,Infant,0.44,0.33,0.11,0.38,0.197,0.079,0.09,7
3480,Infant,0.45,0.34,0.105,0.4385,0.21,0.0925,0.12,8
3481,Infant,0.465,0.345,0.105,0.4015,0.242,0.0345,0.109,6
3482,Infant,0.47,0.355,0.145,0.4485,0.156,0.102,0.123,7
3483,Infant,0.47,0.355,0.115,0.4155,0.167,0.084,0.139,7
3484,Infant,0.475,0.42,0.16,0.7095,0.35,0.1505,0.1845,8
3485,Infant,0.485,0.37,0.115,0.637,0.38,0.1335,0.128,7
3486,Female,0.505,0.475,0.16,1.1155,0.509,0.239,0.3065,8
3487,Infant,0.51,0.405,0.13,0.599,0.3065,0.1155,0.1485,8
3488,Infant,0.52,0.38,0.13,0.5345,0.2375,0.122,0.1535,8
3489,Female,0.53,0.42,0.14,0.627,0.2905,0.1165,0.183,8
3490,Male,0.535,0.42,0.16,0.7465,0.348,0.1515,0.2185,10
3491,Male,0.55,0.44,0.16,0.985,0.4645,0.201,0.27,8
3492,Male,0.555,0.44,0.145,0.85,0.4165,0.1685,0.23,8
3493,Male,0.555,0.44,0.15,0.838,0.4155,0.146,0.23,8
3494,Female,0.555,0.43,0.135,0.812,0.4055,0.163,0.2215,9
3495,Male,0.56,0.415,0.13,0.7615,0.3695,0.17,0.1955,8
3496,Male,0.575,0.44,0.145,0.87,0.3945,0.2195,0.225,8
3497,Female,0.585,0.45,0.145,0.9835,0.4845,0.242,0.22,9
3498,Male,0.59,0.46,0.145,0.929,0.38,0.24,0.255,10
3499,Female,0.595,0.47,0.165,1.0155,0.491,0.1905,0.289,9
3500,Male,0.6,0.41,0.145,0.939,0.4475,0.196,0.268,8
3501,Male,0.6,0.475,0.16,1.164,0.5045,0.2635,0.335,12
3502,Male,0.61,0.47,0.175,1.214,0.5315,0.2835,0.325,10
3503,Female,0.615,0.49,0.19,1.1345,0.4695,0.257,0.348,11
3504,Female,0.62,0.51,0.18,1.233,0.592,0.274,0.322,10
3505,Male,0.625,0.495,0.18,1.0815,0.4715,0.254,0.3135,10
3506,Male,0.625,0.47,0.175,1.179,0.605,0.258,0.271,9
3507,Female,0.64,0.5,0.165,1.1635,0.554,0.239,0.32,11
3508,Female,0.64,0.475,0.175,1.1545,0.4865,0.341,0.288,9
3509,Female,0.645,0.52,0.175,1.3345,0.667,0.2665,0.355,10
3510,Male,0.65,0.505,0.18,1.469,0.7115,0.3335,0.38,9
3511,Male,0.655,0.52,0.18,1.492,0.7185,0.36,0.355,11
3512,Female,0.655,0.54,0.175,1.5585,0.7285,0.402,0.385,11
3513,Female,0.66,0.5,0.175,1.3275,0.556,0.2805,0.4085,9
3514,Male,0.67,0.525,0.18,1.6615,0.8005,0.3645,0.43,10
3515,Female,0.69,0.525,0.19,1.492,0.6425,0.3905,0.42,12
3516,Female,0.7,0.575,0.2,1.7365,0.7755,0.3965,0.461,11
3517,Female,0.7,0.56,0.175,1.6605,0.8605,0.3275,0.398,11
3518,Male,0.71,0.57,0.195,1.348,0.8985,0.4435,0.4535,11
3519,Male,0.715,0.545,0.18,1.7405,0.871,0.347,0.449,10
3520,Female,0.72,0.545,0.185,1.7185,0.7925,0.401,0.468,11
3521,Infant,0.215,0.15,0.055,0.041,0.015,0.009,0.0125,3
3522,Infant,0.24,0.185,0.06,0.0655,0.0295,0.0005,0.02,4
3523,Infant,0.26,0.205,0.07,0.097,0.0415,0.019,0.0305,4
3524,Infant,0.32,0.24,0.085,0.131,0.0615,0.0265,0.038,6
3525,Infant,0.33,0.23,0.085,0.1695,0.079,0.026,0.0505,6
3526,Infant,0.335,0.26,0.085,0.192,0.097,0.03,0.054,6
3527,Infant,0.35,0.26,0.09,0.1765,0.072,0.0355,0.0575,7
3528,Infant,0.35,0.265,0.085,0.1735,0.0775,0.034,0.056,6
3529,Infant,0.36,0.265,0.075,0.1785,0.0785,0.035,0.054,6
3530,Infant,0.36,0.265,0.09,0.2055,0.096,0.037,0.0585,7
3531,Infant,0.365,0.275,0.09,0.2345,0.108,0.051,0.0625,7
3532,Infant,0.38,0.285,0.09,0.2305,0.1005,0.039,0.0775,7
3533,Infant,0.4,0.31,0.115,0.314,0.1545,0.0595,0.087,6
3534,Infant,0.4,0.315,0.09,0.33,0.151,0.068,0.08,6
3535,Infant,0.4,0.265,0.1,0.2775,0.1245,0.0605,0.08,9
3536,Infant,0.425,0.325,0.11,0.405,0.1695,0.092,0.1065,8
3537,Infant,0.43,0.325,0.105,0.309,0.119,0.08,0.098,6
3538,Male,0.435,0.335,0.11,0.4385,0.2075,0.0715,0.1315,7
3539,Infant,0.435,0.34,0.12,0.396,0.1775,0.081,0.125,8
3540,Infant,0.445,0.355,0.095,0.3615,0.1415,0.0785,0.12,8
3541,Infant,0.45,0.35,0.11,0.514,0.253,0.1045,0.14,8
3542,Infant,0.455,0.435,0.11,0.4265,0.195,0.09,0.1205,8
3543,Infant,0.46,0.34,0.09,0.384,0.1795,0.068,0.11,8
3544,Infant,0.475,0.355,0.125,0.4865,0.2155,0.1105,0.142,9
3545,Infant,0.475,0.36,0.135,0.4355,0.196,0.0925,0.125,8
3546,Infant,0.475,0.35,0.115,0.498,0.2375,0.099,0.14,7
3547,Infant,0.48,0.355,0.125,0.494,0.2385,0.0835,0.15,9
3548,Female,0.495,0.37,0.12,0.594,0.28,0.11,0.1375,7
3549,Infant,0.5,0.365,0.125,0.528,0.229,0.103,0.1645,9
3550,Male,0.505,0.39,0.115,0.5585,0.2575,0.119,0.1535,8
3551,Infant,0.515,0.4,0.135,0.636,0.3055,0.1215,0.1855,9
3552,Infant,0.525,0.39,0.105,0.567,0.2875,0.1075,0.16,8
3553,Infant,0.53,0.405,0.13,0.6615,0.2945,0.1395,0.19,9
3554,Infant,0.53,0.42,0.13,0.658,0.296,0.1245,0.198,8
3555,Male,0.535,0.415,0.135,0.78,0.3165,0.169,0.2365,8
3556,Infant,0.535,0.41,0.13,0.6075,0.268,0.1225,0.1975,9
3557,Infant,0.54,0.41,0.135,0.7025,0.31,0.177,0.2,8
3558,Infant,0.55,0.425,0.155,0.8725,0.412,0.187,0.2425,10
3559,Female,0.565,0.45,0.175,1.2365,0.5305,0.2455,0.308,10
3560,Male,0.57,0.47,0.155,1.186,0.6355,0.2315,0.277,10
3561,Infant,0.57,0.42,0.13,0.7745,0.3535,0.1505,0.2365,9
3562,Female,0.57,0.42,0.16,0.8875,0.4315,0.1915,0.223,8
3563,Infant,0.575,0.455,0.155,0.8725,0.349,0.2095,0.285,8
3564,Infant,0.575,0.44,0.125,0.8515,0.4555,0.1715,0.1965,9
3565,Female,0.575,0.475,0.16,0.895,0.3605,0.221,0.271,9
3566,Male,0.575,0.45,0.155,0.886,0.3605,0.211,0.2575,9
3567,Infant,0.58,0.46,0.14,0.9265,0.4135,0.1845,0.27,10
3568,Infant,0.58,0.46,0.14,0.8295,0.3915,0.165,0.238,10
3569,Infant,0.58,0.47,0.15,0.907,0.444,0.1855,0.2445,11
3570,Male,0.58,0.47,0.165,1.041,0.54,0.166,0.279,9
3571,Female,0.585,0.465,0.165,0.9355,0.4035,0.2275,0.259,9
3572,Female,0.585,0.46,0.165,1.058,0.486,0.25,0.294,9
3573,Female,0.595,0.465,0.145,0.7955,0.3425,0.1795,0.2425,10
3574,Female,0.6,0.47,0.17,1.0805,0.4995,0.2245,0.3205,9
3575,Male,0.6,0.47,0.15,0.928,0.4225,0.183,0.275,8
3576,Female,0.6,0.475,0.155,1.059,0.441,0.19,0.39,11
3577,Male,0.6,0.475,0.23,1.157,0.522,0.2235,0.36,11
3578,Female,0.6,0.475,0.17,1.088,0.4905,0.2475,0.31,10
3579,Female,0.6,0.485,0.145,0.776,0.3545,0.1585,0.239,9
3580,Female,0.62,0.48,0.165,1.043,0.4835,0.221,0.31,10
3581,Male,0.625,0.48,0.16,1.1415,0.5795,0.2145,0.29,9
3582,Female,0.625,0.475,0.16,1.3335,0.605,0.2875,0.319,10
3583,Female,0.625,0.5,0.175,1.273,0.564,0.302,0.374,9
3584,Male,0.625,0.49,0.165,1.1835,0.517,0.2375,0.39,11
3585,Male,0.625,0.485,0.16,1.2135,0.631,0.2235,0.302,9
3586,Infant,0.63,0.465,0.15,1.0315,0.4265,0.24,0.325,11
3587,Male,0.635,0.495,0.17,1.3695,0.657,0.3055,0.365,10
3588,Male,0.65,0.515,0.185,1.3745,0.75,0.1805,0.369,12
3589,Male,0.65,0.515,0.18,1.463,0.658,0.3135,0.4115,11
3590,Female,0.65,0.52,0.195,1.6275,0.689,0.3905,0.432,11
3591,Female,0.65,0.475,0.165,1.3875,0.58,0.3485,0.3095,9
3592,Male,0.655,0.525,0.16,1.46,0.686,0.311,0.405,11
3593,Female,0.655,0.53,0.165,1.2835,0.583,0.1255,0.4,8
3594,Female,0.66,0.5,0.155,1.3765,0.6485,0.288,0.335,12
3595,Male,0.66,0.515,0.2,1.6465,0.749,0.422,0.401,11
3596,Male,0.675,0.515,0.145,1.265,0.6025,0.299,0.325,10
3597,Male,0.685,0.53,0.17,1.56,0.647,0.383,0.465,11
3598,Male,0.715,0.52,0.18,1.6,0.708,0.3525,0.445,12
3599,Male,0.735,0.555,0.22,2.333,1.2395,0.3645,0.6195,12
3600,Infant,0.175,0.125,0.04,0.028,0.0095,0.008,0.009,4
3601,Infant,0.37,0.285,0.095,0.226,0.1135,0.0515,0.0675,8
3602,Infant,0.395,0.3,0.09,0.2855,0.1385,0.0625,0.077,5
3603,Infant,0.42,0.325,0.11,0.325,0.1245,0.0755,0.1025,7
3604,Infant,0.455,0.37,0.11,0.514,0.2385,0.1235,0.126,8
3605,Infant,0.495,0.375,0.115,0.5755,0.31,0.1145,0.1395,8
3606,Female,0.51,0.375,0.11,0.5805,0.2865,0.118,0.148,7
3607,Male,0.515,0.39,0.14,0.678,0.341,0.1325,0.119,8
3608,Male,0.545,0.43,0.155,0.8035,0.409,0.144,0.228,7
3609,Female,0.555,0.405,0.12,0.913,0.4585,0.196,0.2065,9
3610,Male,0.58,0.45,0.16,0.8675,0.3935,0.221,0.215,9
3611,Female,0.59,0.465,0.17,1.0425,0.4635,0.24,0.27,10
3612,Male,0.6,0.46,0.18,1.14,0.423,0.2575,0.365,10
3613,Female,0.61,0.49,0.17,1.3475,0.7045,0.25,0.3045,11
3614,Male,0.615,0.475,0.155,1.0735,0.4375,0.2585,0.31,11
3615,Male,0.615,0.475,0.19,1.4335,0.7315,0.305,0.3285,9
3616,Male,0.615,0.495,0.2,1.304,0.5795,0.3115,0.371,14
3617,Male,0.62,0.46,0.16,0.9505,0.4915,0.2,0.228,9
3618,Male,0.63,0.515,0.17,1.385,0.6355,0.2955,0.38,11
3619,Female,0.64,0.5,0.17,1.12,0.4955,0.2645,0.32,12
3620,Female,0.64,0.5,0.17,1.2645,0.565,0.3375,0.315,9
3621,Female,0.655,0.455,0.17,1.275,0.583,0.303,0.333,8
3622,Male,0.655,0.505,0.165,1.27,0.6035,0.262,0.335,10
3623,Male,0.66,0.53,0.175,1.583,0.7395,0.3505,0.405,10
3624,Female,0.665,0.5,0.175,1.4355,0.643,0.345,0.37,9
3625,Female,0.67,0.525,0.195,1.42,0.573,0.368,0.3905,10
3626,Male,0.69,0.53,0.19,1.5955,0.678,0.331,0.48,10
3627,Male,0.715,0.525,0.2,1.89,0.95,0.436,0.4305,10
3628,Female,0.735,0.565,0.225,2.037,0.87,0.5145,0.5675,13
3629,Infant,0.27,0.205,0.05,0.084,0.03,0.0185,0.029,6
3630,Infant,0.285,0.225,0.07,0.1005,0.0425,0.0185,0.035,7
3631,Infant,0.295,0.22,0.085,0.1285,0.0585,0.027,0.0365,5
3632,Infant,0.3,0.225,0.075,0.1345,0.057,0.028,0.044,5
3633,Infant,0.3,0.22,0.065,0.1195,0.052,0.0155,0.035,5
3634,Infant,0.36,0.265,0.085,0.1895,0.0725,0.0515,0.055,6
3635,Infant,0.37,0.275,0.095,0.257,0.1015,0.055,0.0825,6
3636,Infant,0.39,0.29,0.09,0.2745,0.135,0.0455,0.078,8
3637,Infant,0.435,0.325,0.1,0.342,0.1335,0.0835,0.105,6
3638,Infant,0.44,0.34,0.105,0.344,0.123,0.081,0.125,8
3639,Infant,0.44,0.32,0.095,0.3275,0.1495,0.059,0.1,8
3640,Infant,0.445,0.345,0.12,0.4035,0.169,0.0825,0.13,7
3641,Infant,0.465,0.37,0.115,0.4075,0.1515,0.0935,0.1455,9
3642,Infant,0.465,0.355,0.12,0.4975,0.2375,0.099,0.14,8
3643,Infant,0.47,0.345,0.12,0.3685,0.1525,0.0615,0.125,8
3644,Infant,0.475,0.365,0.105,0.4175,0.1645,0.099,0.127,7
3645,Infant,0.475,0.335,0.1,0.4425,0.1895,0.086,0.135,9
3646,Infant,0.475,0.35,0.125,0.4225,0.1905,0.079,0.1355,9
3647,Infant,0.485,0.365,0.125,0.426,0.163,0.0965,0.151,8
3648,Infant,0.49,0.39,0.12,0.511,0.2205,0.103,0.1745,9
3649,Infant,0.515,0.405,0.13,0.573,0.213,0.134,0.195,9
3650,Infant,0.52,0.415,0.14,0.6385,0.2945,0.1405,0.171,8
3651,Infant,0.525,0.405,0.125,0.657,0.2985,0.1505,0.168,10
3652,Female,0.525,0.425,0.14,0.8735,0.4205,0.182,0.2225,10
3653,Infant,0.53,0.425,0.13,0.781,0.3905,0.2005,0.215,9
3654,Infant,0.53,0.42,0.14,0.6765,0.256,0.1855,0.208,9
3655,Male,0.53,0.41,0.125,0.769,0.346,0.173,0.215,9
3656,Infant,0.53,0.395,0.125,0.6235,0.2975,0.108,0.195,11
3657,Male,0.535,0.405,0.14,0.7315,0.336,0.156,0.19,7
3658,Infant,0.535,0.45,0.155,0.8075,0.3655,0.148,0.2595,10
3659,Male,0.545,0.41,0.14,0.737,0.349,0.15,0.212,9
3660,Female,0.545,0.41,0.125,0.654,0.2945,0.1315,0.205,10
3661,Infant,0.55,0.415,0.15,0.7915,0.3535,0.176,0.236,10
3662,Infant,0.55,0.45,0.14,0.753,0.3445,0.1325,0.24,8
3663,Infant,0.55,0.4,0.135,0.717,0.3315,0.1495,0.221,9
3664,Infant,0.555,0.43,0.15,0.783,0.345,0.1755,0.247,9
3665,Infant,0.575,0.45,0.145,0.872,0.4675,0.18,0.217,9
3666,Infant,0.575,0.44,0.15,0.983,0.486,0.215,0.239,8
3667,Female,0.585,0.42,0.155,1.034,0.437,0.2225,0.32,11
3668,Female,0.585,0.465,0.145,0.9855,0.4325,0.2145,0.2845,10
3669,Infant,0.585,0.46,0.14,0.7635,0.326,0.153,0.265,9
3670,Male,0.59,0.465,0.135,0.9895,0.4235,0.199,0.28,8
3671,Infant,0.595,0.47,0.135,0.9365,0.434,0.184,0.287,10
3672,Female,0.595,0.44,0.135,0.964,0.5005,0.1715,0.2575,10
3673,Female,0.595,0.46,0.155,1.0455,0.4565,0.24,0.3085,10
3674,Female,0.595,0.45,0.165,1.081,0.49,0.2525,0.279,12
3675,Male,0.6,0.47,0.16,1.012,0.441,0.2015,0.305,10
3676,Female,0.6,0.5,0.16,1.122,0.5095,0.256,0.309,10
3677,Male,0.605,0.49,0.165,1.1245,0.492,0.222,0.3555,11
3678,Female,0.605,0.49,0.15,1.1345,0.4305,0.2525,0.35,10
3679,Male,0.61,0.45,0.19,1.0805,0.517,0.2495,0.2935,10
3680,Female,0.61,0.495,0.165,1.0835,0.4525,0.273,0.317,9
3681,Male,0.615,0.47,0.175,1.242,0.5675,0.287,0.317,11
3682,Male,0.62,0.5,0.18,1.3915,0.726,0.2795,0.332,11
3683,Male,0.62,0.525,0.155,1.085,0.454,0.1965,0.35,10
3684,Infant,0.62,0.47,0.155,0.966,0.447,0.171,0.284,11
3685,Male,0.62,0.48,0.165,1.0855,0.481,0.2575,0.305,10
3686,Female,0.625,0.485,0.135,1.3025,0.61,0.2675,0.3605,14
3687,Infant,0.625,0.485,0.16,1.15,0.5255,0.257,0.3315,11
3688,Infant,0.63,0.49,0.17,1.217,0.5515,0.212,0.31,11
3689,Female,0.63,0.505,0.195,1.306,0.516,0.3305,0.375,9
3690,Male,0.64,0.5,0.175,1.273,0.5065,0.2925,0.405,13
3691,Male,0.645,0.51,0.19,1.4865,0.6445,0.296,0.425,12
3692,Male,0.65,0.52,0.17,1.3655,0.6155,0.2885,0.36,11
3693,Male,0.65,0.495,0.17,1.276,0.6215,0.2305,0.399,11
3694,Male,0.65,0.495,0.16,1.2075,0.55,0.2695,0.32,10
